排名,学校中文名,学校英文名,省份,类型,总分,标签
225,山西农业大学,Shanxi Agricultural University,山西,农业,181.3,
226,中国民航大学,Civil Aviation University of China,天津,理工,180.8,
227,海南师范大学,Hainan Normal University,海南,师范,180.6,
228,青岛农业大学,Qingdao Agricultural University,山东,农业,180.4,
229,东华理工大学,East China University of Technology,江西,理工,180.1,
230,西安石油大学,Xi'an Shiyou University,陕西,理工,179.4,
231,石家庄铁道大学,Shijiazhuang Tiedao University,河北,理工,179.3,
232,浙江科技大学,Zhejiang University of Science & Technology,浙江,理工,178.8,
233,北京电子科技学院,Beijing Electronic Science and Technology Institute,北京,理工,178.7,
234,湖州师范学院,Huzhou University,浙江,师范,178.3,
235,甘肃农业大学,Gansu Agricultural University,甘肃,农业,178.2,
236,浙江海洋大学,Zhejiang Ocean University,浙江,农业,178.1,
237,佛山大学,Foshan University,广东,理工,177.9,
237,上海工程技术大学,Shanghai University of Engineering Science,上海,理工,177.9,
239,北方工业大学,North China University of Technology,北京,理工,177.4,
240,鲁东大学,Ludong University,山东,综合,176.9,
241,成都大学,Chengdu University,四川,综合,175.9,
242,上海应用技术大学,Shanghai Institute of Technology,上海,理工,175.4,
243,重庆理工大学,Chongqing University of Technology,重庆,理工,174.3,
244,沈阳化工大学,Shenyang University of Chemical Technology,辽宁,理工,172.6,
245,长春工业大学,Changchun University of Technology,吉林,理工,172.3,
246,厦门理工学院,Xiamen University of Technology,福建,理工,172.2,
247,东莞理工学院,Dongguan University of Technology,广东,理工,172,
248,延安大学,Yan'an University,陕西,综合,171.8,
249,大连交通大学,Dalian Jiaotong University,辽宁,理工,171.7,
249,华北水利水电大学,North China University of Water Resources and Electric Power,河南,理工,171.7,
251,山东建筑大学,Shandong Jianzhu University,山东,理工,171.2,
252,赣南师范大学,Gannan Normal University,江西,师范,171,
253,西安工程大学,Xi'an Polytechnic University,陕西,理工,170.6,
254,河北科技大学,Hebei University of Science and Technology,河北,理工,170.4,
254,沈阳理工大学,Shenyang Ligong University,辽宁,理工,170.4,
256,青海师范大学,Qinghai Normal University,青海,师范,169.7,
257,武汉轻工大学,Wuhan Polytechnic University,湖北,理工,169.3,
258,桂林理工大学,Guilin University of Technology,广西,理工,169.2,
258,郑州轻工业大学,Zhengzhou University of Light Industry,河南,理工,169.2,
260,成都信息工程大学,Chengdu University of Information Technology,四川,理工,169,
261,内蒙古工业大学,Inner Mongolia University of Technology,内蒙古,理工,168.9,
262,西华大学,Xihua University,四川,综合,168,
263,辽宁石油化工大学,Liaoning Petrochemical University,辽宁,理工,167.5,
264,绍兴文理学院,Shaoxing University,浙江,师范,167.2,
265,江汉大学,Jianghan University,湖北,综合,167.1,
266,沈阳大学,Shenyang University,辽宁,综合,166.8,
267,山西师范大学,Shanxi Normal University,山西,师范,166.3,
268,聊城大学,Liaocheng University,山东,综合,164.8,
269,华北理工大学,North China University of Science and Technology,河北,综合,164.5,
270,太原科技大学,Taiyuan University of Science and Technology,山西,理工,164.2,
271,辽宁工程技术大学,Liaoning Technical University,辽宁,理工,164.1,
271,西华师范大学,China West Normal University,四川,师范,164.1,
273,南京工程学院,Nanjing Institute of Technology,江苏,理工,164,
274,安徽工程大学,Anhui Polytechnic University,安徽,理工,162.6,
275,福建理工大学,Fujian University of Technology,福建,理工,162.5,
276,上海海关学院,Shanghai Customs University,上海,综合,162.4,
277,沈阳师范大学,Shenyang Normal University,辽宁,师范,162,
278,台州学院,Taizhou University,浙江,综合,161,
279,重庆科技大学,Chongqing University of Science and Technology,重庆,理工,159.7,
279,辽宁工业大学,Liaoning University of Technology,辽宁,理工,159.7,
281,北京农学院,Beijing University of Agriculture,北京,农业,159.4,
281,北京印刷学院,Beijing Institute of Graphic Communication,北京,理工,159.4,
283,安徽建筑大学,Anhui Jianzhu University,安徽,理工,158.8,
283,深圳技术大学,Shenzhen Technology University,广东,综合,158.8,
285,渤海大学,Bohai University,辽宁,综合,158.4,
285,大理大学,Dali University,云南,综合,158.4,
287,大连大学,Dalian University,辽宁,综合,158.2,
287,苏州工学院,Suzhou University of Technology,江苏,理工,158.2,
287,浙大宁波理工学院,NingboTech University,浙江,理工,158.2,
290,云南农业大学,Yunnan Agricultural University,云南,农业,156,
291,河北工程大学,Hebei University of Engineering,河北,理工,155.8,
292,宁波工程学院,Ningbo University of Technology,浙江,理工,155.6,
293,湖南工业大学,Hunan University of Technology,湖南,理工,154.8,
294,吉林建筑大学,Jilin Jianzhu University,吉林,理工,154.4,
295,南宁师范大学,Nanning Normal University,广西,师范,153.9,
296,大连海洋大学,Dalian Ocean University,辽宁,农业,153.6,
297,闽江学院,Minjiang University,福建,理工,153.1,
298,广东海洋大学,Guangdong Ocean University,广东,农业,153,
299,临沂大学,Linyi University,山东,综合,152.8,
300,北京石油化工学院,Beijing Institute of Petrochemical Technology,北京,理工,152.7,
